"Marca temporal","¿Eres estudiante de 42?","¿Te sientes motivado en tus estudios/proyectos?","¿Elegiste tus estudios actuales?","¿Te gusta lo que estudias?","¿Sientes que aprovechas el tiempo?","¿Eres una persona organizada?","¿Te sientes cómodo con tus compañeros en el ambiente de estudio?","¿Cuántas horas duermes al día? (en horas)","¿Sientes que duermes lo suficiente?","¿Cuántas comidas haces diariamente?","¿Cuántas bebidas energéticas o café consumes diariamente?","¿Cada cuánto realizas actividad física/meditación semanalmente?","¿Cuánto tiempo dedicas a los estudios diariamente? (en horas)","¿Te sientes a gusto con la metodología de estudio que tiene tu sistema educativo?","¿Te sientes acompañado en el estudio?","¿Sientes que estás en un ambiente competitivo?","¿Te sientes cómodo en un ambiente competitivo?","¿Te ves capaz de realizar trabajos de forma autónoma?","¿Sientes presión cuando se te acumulan las tareas?","¿Crees que tienes el síndrome de burnout?"
"2024/03/15 2:10:23 p. m. CET","No","No","Si, era lo que quería","No","Si","Si, mucho","Si","6","No","Mas de 3","Nada","5 o mas","6","No","No","No","Si","Si","No","Si"
"2024/03/15 2:11:03 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, mucho","Si","3","No","Menos de 3","1","1 - 2 dias","4","Si","Si","Si","Si","Si","Si","No"
"2024/03/15 2:11:23 p. m. CET","No","No","Si, era lo que quería","Si","No","No, nada","Si","7","Si","Mas de 3","1","3 - 4 dias","2","No","No","Si","Si","Si","No","No"
"2024/03/15 2:11:55 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","6","Si","Menos de 3","Nada","1 - 2 dias","8","Si","Si","No","No","Si","Si","Si"
"2024/03/15 2:12:19 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","Si","Si","Si, un poco","Si","8","Si","3","1","1 - 2 dias","Contando el tiempo en telefonica 8","Si","Si","No","Si","Si","No","No"
"2024/03/15 2:12:20 p. m. CET","Si","Sí, pero poco","No, acabe de rebote","Si","No","No, nada","Si","7","Si","3","Nada","3 - 4 dias","6","Si","No","Si","Si","Si","Si","Si"
"2024/03/15 2:12:45 p. m. CET","Si","Si, mucho","Si, era lo que quería","Si","No","No, nada","Si","6 ó 7","Si","3","Nada","1 - 2 dias","No lo sé","Si","Si","Si","Si","No","Si","No"
"2024/03/15 2:13:43 p. m. CET","No","Sí, pero poco","Si, era lo que quería","Si","No","Si, un poco","Si","7","No","Mas de 3","1","3 - 4 dias","1","No","Si","Si","Si","Si","Si","No"
"2024/03/15 2:14:20 p. m. CET","Si","Sí, pero poco","Si, era lo que quería","No","No","No, nada","Si","7","Si","Mas de 3","1","3 - 4 dias","0.5","No","No","No","No","Si","Si","No"
"2024/03/15 2:14:29 p. m. CET","No","Si, mucho","Si, era lo que quería","Si","Si","Si, un poco","Si","8","Si","3","Nada","1 - 2 dias","3","Si","Si","Si","No","Si","Si","No"
